Food Environment Index,% With Access to Exercise Opportunities,% Uninsured,% Completed High School,% Some College,Average Daily PM2.5,Presence of Water Violation,% Food Insecure,Median Household Income,% Homeowners,Value
8,30,13,92,76,5.6,No,7,48063,88,144.9
7.8,30,8,90,58,9,No,12,62062,80,169.4
7.2,30,10,79,50,8.2,No,18,49778,76,205
7.2,30,17,86,48,8.5,Yes,11,51157,79,218.8
7.7,30,13,86,53,9.9,No,14,57864,76,194.8
6.4,30,13,81,50,7.4,No,14,46475,77,195.8
7.3,30,19,87,51,9.7,Yes,17,58231,77,223.1
9.3,30,5,94,66,6.8,No,8,79994,86,139.5
5.5,30,8,84,44,7.4,No,12,41579,70,193
5.2,31,9,83,47,7.9,Yes,22,40789,70,236.8
4.6,31,8,90,42,9.7,Yes,18,41854,69,231.2
6.5,31,14,85,59,9.4,Yes,18,43133,74,227.1
6.8,31,17,83,47,8.4,No,19,36871,57,226.1
7.9,31,15,89,60,6.8,No,9,65658,78,179.4
8.9,31,8,92,60,9.2,No,10,58577,83,211.1
7.4,31,10,88,52,9,Yes,12,60526,78,194.7
7.1,31,11,89,67,8.9,Yes,15,50472,74,206.1
5.7,31,8,68,29,7.9,No,25,33757,63,351.6
6.6,31,12,80,40,9.1,Yes,16,48306,84,234.9
7.8,31,9,89,54,7.2,No,16,51474,82,181.7
7.9,31,9,87,56,6.8,No,10,52842,84,111.7
4.8,31,16,86,58,8.5,Yes,17,46353,69,220.8
8.2,31,14,88,61,8.3,No,12,54487,79,180.7
7.1,31,15,77,33,9.3,Yes,19,39621,61,280.7
7,31,14,81,47,9.2,Yes,18,41553,62,261.4
6,31,19,81,42,8,No,20,39521,76,246.6
7.2,31,9,90,55,7.7,Yes,14,55414,71,179.6
5.5,31,20,85,49,9.8,Yes,18,41253,77,314.5
8.9,31,11,93,69,6.1,No,10,62754,80,205.6
7.3,31,13,87,59,8.2,No,16,47390,74,327.6
7,31,14,80,39,7.5,No,16,51002,68,212.8
7.8,31,13,85,45,8.2,No,14,56661,77,259.2
7.9,31,12,86,52,7.7,No,14,59355,76,195.8
7,31,11,83,48,7.1,No,11,56134,68,192.9
7.2,31,9,89,57,6.8,No,11,50922,79,170.6
7.7,32,7,88,56,9.6,Yes,13,59497,76,176.5
7.9,32,11,88,59,8.8,No,13,52609,74,210.5
8.8,32,5,95,61,7.6,No,10,55265,70,162.3
8.9,32,9,94,71,8.9,Yes,10,63712,85,160.1
7.5,32,11,93,79,6.6,No,11,56047,71,152.3
7.1,32,13,93,58,7.8,Yes,11,51751,77,158.5
7.5,32,8,82,53,9.2,Yes,15,48621,78,233.8
7,32,9,78,55,7.3,Yes,20,38917,72,246
7.5,32,8,86,61,9.6,No,13,58309,81,214.9
8,32,11,93,67,5.7,Yes,13,56085,80,157.6
7.1,32,16,91,58,5.1,Yes,17,48582,78,170.3
6.6,32,9,90,58,6.4,No,16,48764,80,160.1
6,32,16,84,57,9.4,No,18,41476,79,235.3
7.9,32,14,91,61,7.8,No,14,60521,77,192.1
7.6,32,11,90,51,7.5,Yes,13,62043,71,192.7
7.3,32,21,78,35,8,Yes,17,51582,81,205.7
6.4,32,14,93,59,6.2,Yes,11,50607,66,154.5
9.1,32,8,93,71,5.9,No,7,73044,81,151.6
7.4,32,13,83,56,6.8,No,16,42264,66,197.1
8.7,32,11,89,63,5.1,No,4,73722,74,150.4
8,32,8,90,48,7.4,Yes,11,55560,77,174.9
7.5,32,12,88,47,8.2,No,14,49491,73,231.4
6.9,32,14,78,43,7.8,No,18,41133,79,258.8
8,32,13,80,42,7.5,No,15,43167,78,233
7.7,32,22,86,57,9.5,Yes,14,71636,80,201.9
8.5,32,15,82,45,6.6,No,12,44127,65,216.3
7.7,32,11,82,58,8.1,No,11,43386,75,181.2
8.7,32,8,90,66,7.8,No,8,75717,69,118
6.4,32,10,77,37,7.9,No,21,32955,71,269.5
8.8,32,10,88,50,7.7,No,8,57432,84,177.4
7.3,32,8,76,42,6.6,Yes,17,34396,74,183.2
8.7,32,12,92,62,8.8,Yes,9,65235,77,147.5
5.4,33,12,83,43,9.2,Yes,19,44178,73,243.2
5.9,33,10,79,28,9.3,No,16,47903,78,261.4
7.8,33,20,71,44,8.4,No,15,37735,78,238.4
7.9,33,7,93,64,9.4,No,13,57969,83,169.4
7.9,33,13,87,59,8.8,No,13,55895,76,197.6
8,33,11,85,51,9.3,Yes,13,49494,80,202
7,33,8,75,53,7.8,No,19,30320,77,247.2
7.5,33,10,76,45,9.5,No,17,52046,78,209.1
5.6,33,12,76,36,8.9,Yes,20,42706,72,421.4
8,33,12,94,59,6.1,No,12,49317,78,150
8.5,33,5,94,68,6.9,No,10,64240,74,147.7
6.5,33,17,84,52,9.1,No,19,49995,82,308.6
6.1,33,17,84,56,9.6,No,19,44029,74,226.8
5.5,33,13,93,63,5.8,No,10,53407,79,162.3
8.5,33,8,96,72,7.1,Yes,11,64569,67,151.6
8.1,33,7,95,39,4.9,No,11,68806,73,205.3
7.5,33,13,88,63,8.3,No,14,58991,78,171.5
6.7,33,8,93,75,6.5,No,8,53008,75,165.4
9.1,33,5,97,75,6.5,No,3,68163,80,134
7.9,33,12,85,53,7.8,No,13,42839,77,229.5
4.2,33,19,83,52,7.6,No,16,51050,67,164
6.8,33,18,85,40,10.4,Yes,18,51153,76,265.2
7.9,33,22,80,50,7.6,No,14,57158,78,144.6
8.7,33,11,92,53,6.7,No,10,60575,89,169.7
7.7,33,7,89,56,8.4,Yes,13,52123,77,184.6
9,33,6,95,72,8.4,Yes,9,75075,74,136.8
6.8,34,14,83,50,8.7,Yes,18,46606,77,281
5.6,34,11,84,54,9.4,Yes,15,37736,65,316.3
6.3,34,21,80,44,8.3,No,18,45094,66,223.5
8.9,34,15,87,57,9.1,No,10,64986,85,169.8
3.3,34,18,78,22,8.7,No,15,28004,76,195.6
8.4,34,8,88,57,7,No,8,63695,77,141.6
6.8,34,10,81,46,8.6,No,16,43748,78,185
6.8,34,10,81,40,9,Yes,19,38604,71,247.1
7.7,34,7,90,63,7.2,No,8,62240,83,154
6.9,34,19,78,52,9.1,No,19,42107,73,234.9
6.8,34,16,83,55,6.7,No,17,43664,72,191.7
6.2,34,15,83,57,7.7,No,18,42335,66,227.1
9.1,34,10,84,64,6,No,6,48839,71,157.5
6,34,20,83,45,8.7,Yes,18,43014,75,244.2
6.3,34,21,82,47,8.2,No,18,47188,72,289.3
7.7,34,16,93,74,6.5,No,9,56885,79,131.7
5.2,34,13,83,45,8,No,18,51197,76,192.8
8.2,34,22,92,56,9,Yes,13,66383,78,132.2
6.6,34,26,78,45,9.9,Yes,18,41194,75,201.1
4.3,34,31,58,44,11,Yes,21,35716,75,180.6
9,34,11,88,59,6.9,No,10,60752,79,181.7
7.9,34,8,83,46,7.9,Yes,15,49504,82,196.2
6.9,34,9,90,55,7.9,Yes,11,53970,75,145
6.8,35,13,82,56,9.5,No,19,46519,78,419.6
4.6,35,21,80,37,5.1,Yes,19,41637,72,194.5
1.7,35,15,85,62,5.4,Yes,17,35639,74,123.1
7.5,35,17,81,47,9,Yes,17,45095,66,264.3
8.3,35,7,87,70,8.8,No,11,49302,78,193.8
8.9,35,6,92,73,9.1,No,8,69386,79,185.8
8.6,35,11,88,56,9,No,11,62388,79,140.5
7.9,35,13,85,50,9.4,No,15,53893,78,195.7
7.3,35,12,89,56,9.4,No,14,67178,79,199.6
8.4,35,10,90,56,9.3,No,12,58849,76,191.7
8.2,35,6,93,65,8.5,No,10,54790,78,162.6
7,35,8,89,50,7.7,No,11,52016,80,204.1
7.6,35,15,89,60,6.9,No,10,56664,70,192.9
7.8,35,8,93,79,8.5,No,11,62744,73,144.4
7.4,35,13,92,49,5.7,Yes,17,48769,77,166.2
8.1,35,8,91,69,6.9,No,11,59165,71,131.2
3.9,35,15,79,53,9.3,No,26,30003,59,261.9
6.5,35,15,90,55,8.4,No,15,48430,76,213
6.7,35,10,93,69,6.7,No,14,49104,82,156.3
7.2,35,10,93,69,7.2,No,13,58437,77,148.5
6.8,35,16,89,63,4.9,No,15,52051,65,178.9
6.6,35,19,78,47,7.4,No,19,39139,66,230.1
5.7,35,9,84,46,8.5,No,19,44622,77,210
8.6,35,7,94,72,9.1,Yes,9,72299,82,182.2
6.1,35,21,85,46,9.5,Yes,19,38912,74,276.4
7.2,35,13,86,57,8.2,No,12,41335,67,165.2
7.5,35,17,91,71,5.4,No,11,43060,74,180.9
8,35,11,94,69,5.4,No,8,57324,76,147.8
7,35,12,83,52,8,No,16,46776,76,295.3
5.5,35,19,67,40,10.4,No,22,33513,60,198.4
7.2,35,22,88,61,9.5,No,16,43130,72,217.5
6.8,35,20,84,59,9.9,Yes,16,51936,77,194.6
7.1,35,11,79,45,8,No,19,38229,69,206
8.4,35,9,82,43,7.6,Yes,12,50445,91,166
6.4,36,12,85,46,8.8,No,16,34664,75,248.9
6.2,36,10,81,49,8.9,Yes,17,40587,66,238.9
9,36,7,96,75,6.6,No,6,107139,91,108.4
6.7,36,18,79,45,8.6,No,16,43553,72,222.4
7.1,36,20,77,35,8.3,No,16,45191,67,232.5
6.7,36,16,84,49,7.1,No,15,43309,67,206.9
7.9,36,16,92,48,10,Yes,14,52193,76,129
7.4,36,7,85,50,9.5,No,14,47408,71,174.5
7.5,36,8,90,52,9.1,No,12,48815,79,168.1
8.9,36,5,93,67,8.1,No,9,58053,80,184.2
9.1,36,5,96,75,7.7,No,7,75563,79,150.5
8.3,36,7,90,61,7,Yes,9,56296,77,119.7
3.5,36,17,81,62,8.8,Yes,23,36034,56,238.1
7.9,36,13,91,54,8.2,No,14,53603,69,161.9
7.3,36,15,87,43,7.8,Yes,14,52140,70,189.1
8.2,36,17,85,47,8.2,No,12,51138,77,179.2
8.1,36,7,94,75,8.4,No,11,72526,80,136.4
7,36,16,90,60,7.5,No,19,49148,61,224.4
8.1,36,9,91,61,5.3,No,6,84705,58,173.2
8.2,36,8,91,56,9.3,No,12,60856,78,191.7
6.7,36,18,86,62,7.3,No,14,56763,77,216.1
5.8,36,23,83,44,9.9,Yes,19,45380,71,266.8
6.5,36,16,89,55,11.2,Yes,14,50490,77,208
8.1,36,12,82,43,7.7,No,13,40400,77,269.3
6.5,36,13,84,47,8,No,16,43164,76,234.6
7.1,36,12,84,39,8,No,15,57767,78,253.3
8,36,10,88,58,7.8,Yes,11,61714,82,152.3
7.3,36,12,85,63,8,No,13,49542,72,177.7
8.1,36,9,87,51,7.5,Yes,12,52060,83,148.2
7.7,36,10,90,51,7.9,Yes,10,57164,76,153.8
6.5,37,12,82,48,9,No,16,46679,79,273.3
6.7,37,11,85,51,8.1,Yes,16,44677,77,246
6.5,37,12,84,61,8.7,No,19,39839,83,202.5
7.3,37,15,81,48,9,No,14,44870,73,220.7
7.3,37,18,85,43,8,Yes,14,48885,63,198.6
4.8,37,7,87,58,9.2,No,16,44282,77,193.7
7.6,37,9,88,57,9.3,Yes,11,53633,76,208.8
7.6,37,9,92,56,9.1,Yes,10,66597,77,169.1
9.7,37,6,92,70,6.9,No,5,67280,85,128
7.6,37,9,88,52,6.8,No,16,52903,85,201.7
8.8,37,7,93,69,6.1,No,9,57252,79,141.3
6.9,37,16,79,51,9.2,No,17,48097,78,258.2
6.8,37,15,81,47,9,No,16,46117,74,211.8
6.4,37,21,81,56,9.8,No,22,49215,73,361.5
5.9,37,18,85,49,9.4,No,20,47073,81,230.6
6.4,37,13,81,39,8.8,No,18,36850,39,377.9
5.4,37,18,83,48,8.2,No,18,46079,83,230.7
5.9,37,15,87,53,7.6,Yes,17,53544,71,227.5
6.5,37,15,72,52,6.5,Yes,12,53415,54,171.7
8.5,37,8,92,75,7.5,No,10,63640,78,141.3
8.5,37,9,93,79,6.7,Yes,10,61673,80,154.6
7.8,37,11,93,64,7.1,Yes,12,63427,81,165.1
5.7,37,13,85,54,5.6,Yes,13,51564,81,159.5
8.5,37,11,87,57,6.4,No,12,72135,77,185.8
7,37,14,85,56,8.1,No,17,44004,72,183.5
8.5,37,7,94,63,9,Yes,11,64694,77,191.4
6.7,37,20,85,42,8.9,Yes,16,48380,73,241.9
7.6,37,19,87,45,9.7,Yes,14,47391,68,247.6
6,37,18,86,56,9.5,No,18,45361,73,215.4
7.7,37,12,81,50,8.8,Yes,14,46278,60,180.2
7.4,37,9,90,44,6.8,No,12,52821,83,188.4
7.8,37,14,83,45,7.4,No,14,38186,72,161.7
8.8,37,10,95,73,6.1,Yes,8,58406,74,146
6,37,13,82,37,8.1,No,19,41576,70,349.6
7.9,37,22,79,41,9.5,No,12,60594,78,188.3
6.3,37,20,81,49,7.8,Yes,15,50972,73,192
8.9,37,7,91,67,8.3,Yes,7,85779,79,157.2
6.4,38,12,85,39,9,Yes,19,42345,77,183
8.1,38,21,75,53,8.6,Yes,14,62836,74,187.5
8.1,38,11,90,64,8.7,No,14,59663,74,194.5
8.5,38,9,90,53,9.7,No,12,62082,83,168.4
7,38,11,88,49,9.3,No,14,42504,75,164.9
7.9,38,12,95,61,8.7,No,13,57871,75,177.2
7.7,38,10,93,69,7.7,No,11,58678,74,218.6
7.9,38,11,95,73,5.8,No,11,57386,68,134.5
7.9,38,8,87,52,8.7,Yes,14,51905,71,216.9
7.2,38,9,90,66,7,No,15,49713,89,216.4
8,38,7,91,64,6.7,No,10,62618,79,110.3
7.3,38,14,90,51,7.5,No,14,47870,76,182.7
8.2,38,12,89,48,7.4,No,12,64014,78,184.9
8.2,38,11,93,83,6.5,No,12,55010,78,159.8
7.2,38,17,84,49,6.5,No,17,40712,72,236.8
7.6,38,13,86,64,8.6,No,12,53112,75,145.6
7.6,38,20,81,52,7.5,No,15,45387,72,176.2
8,38,8,92,77,6.4,No,5,66708,89,136.1
7.6,38,8,88,53,9.2,No,15,58067,73,207.8
7.4,38,15,80,47,7.7,No,14,52983,77,170.4
6.8,38,15,88,52,7.9,No,12,44399,74,234.9
8.5,38,19,87,50,8.2,No,10,48988,74,151.2
7.8,38,14,80,47,8.1,No,15,47465,80,239.5
7.4,38,12,87,44,8,No,13,58073,73,252.1
6.2,38,12,78,41,7.5,No,20,39020,71,242
7.3,38,13,87,56,8.5,No,15,55022,76,189.4
6.7,38,17,89,55,9.4,No,16,50326,64,265.9
7.6,38,20,84,52,9.6,Yes,14,64836,78,271.5
6.7,38,23,82,41,10.1,Yes,18,47535,77,284.3
7.2,38,20,85,48,9.6,No,14,55218,73,225.9
9.2,38,11,89,63,7,No,8,67373,79,156.2
8.4,38,12,91,53,6.8,No,10,76634,77,151.2
8,38,13,77,53,10.7,No,10,73656,69,133.1
8,38,8,90,59,8.1,Yes,9,67163,74,167.4
5.5,39,10,79,42,8.9,Yes,20,35833,62,284.9
7.7,39,12,96,84,5,No,14,63034,79,117.3
7.4,39,11,92,64,5.8,No,11,59174,70,126.9
6.1,39,15,89,61,8.1,No,16,52255,75,135.3
6.4,39,8,90,54,9.2,No,15,40481,75,217.5
8.3,39,6,93,62,9.7,No,10,64508,80,168.5
8.6,39,10,93,67,9.1,No,11,70930,85,158.2
7.5,39,10,88,58,8.1,No,14,55213,78,190.8
8.7,39,9,91,62,8.5,No,11,66667,80,191.3
7.5,39,12,84,36,9.3,No,16,55618,78,184.4
7.5,39,13,95,74,6.6,Yes,13,47811,77,155.8
7.2,39,9,79,41,8.4,No,18,41778,72,240.5
8.3,39,8,89,64,6.6,No,13,64437,69,176.9
6.8,39,19,77,61,9.6,No,17,53272,73,194
5.4,39,15,90,61,6.4,Yes,18,45936,58,228.5
7.1,39,9,95,76,6.8,No,12,52115,81,165.3
3,39,20,78,48,5,Yes,23,35659,68,140.2
8.1,39,5,91,59,6.1,Yes,12,57897,81,177.6
6.8,39,15,86,62,7.6,Yes,15,52906,63,199.8
6.5,39,12,84,62,6.1,No,8,46424,81,133.7
7.4,39,7,91,58,7.8,No,14,50626,76,236.5
7,39,8,88,52,6.4,No,18,47299,72,227.9
6.1,39,19,88,46,9.6,Yes,17,43804,70,274.4
6.5,39,18,89,49,8.2,Yes,14,51270,72,245.8
8.9,39,11,92,66,6,Yes,8,56758,78,148.1
7.7,39,13,87,45,8.1,No,14,51332,70,257.4
6.6,39,21,77,48,9.5,Yes,19,44590,76,181.4
6.4,39,25,76,33,9.5,No,14,55363,70,167.7
6.7,39,23,81,46,9.9,Yes,15,57795,76,196.1
4.8,39,19,81,47,8.3,No,18,62557,75,159.2
7.3,39,25,81,62,7.4,Yes,15,46053,85,176
5.1,39,23,88,54,8.7,Yes,17,59450,75,219.8
7,39,10,94,67,5.4,No,14,64144,75,238.1
8,39,7,89,57,6.2,No,12,56721,78,171.1
8.8,39,9,92,61,6.5,Yes,10,68946,84,182.4
7.2,39,7,93,71,10.3,No,13,61332,78,144.7
6.3,39,10,81,53,8,Yes,17,42379,76,184.1
7.7,39,11,96,75,5.7,No,11,58218,82,137.4
8.2,39,9,90,60,8.2,Yes,11,56561,77,144
7,40,14,82,42,9.5,No,17,52693,75,246.8
6.8,40,14,80,38,8.9,Yes,18,41212,66,228.2
7,40,12,81,58,8.7,No,19,44333,76,259.4
6.2,40,15,75,25,7.8,No,19,41871,72,169.4
7.8,40,15,85,57,9.1,No,11,70960,79,202.1
8,40,11,85,47,8.9,No,14,51996,82,233.1
9,40,4,95,69,8.8,Yes,8,72308,82,163.9
8.1,40,8,89,57,7.4,No,10,51908,81,212.5
5,40,8,77,47,8,No,21,31568,67,235
7.1,40,8,86,57,9.5,No,16,52994,85,200.5
7.2,40,10,79,51,8,No,18,38449,70,231.3
6.9,40,10,82,49,9.3,Yes,16,47924,76,246.2
8.5,40,11,93,59,5.6,No,11,66058,79,150
7.5,40,6,93,70,6.6,No,10,66740,79,143.2
8.4,40,7,92,64,7.4,No,8,61775,79,160.3
5.3,40,14,79,48,8.8,Yes,24,34551,70,337.5
6.6,40,16,83,59,7,No,19,42577,68,266.6
8.5,40,10,95,80,6.7,Yes,10,56719,77,162.1
6.8,40,15,79,50,7.6,No,18,41098,62,187.5
6.6,40,7,90,60,9.2,No,15,53891,67,202.8
7,40,17,88,50,9.8,Yes,14,56957,81,229.9
7,40,15,91,62,9.6,Yes,12,72617,85,192.6
8,40,12,86,62,7.7,No,11,47429,66,220.3
8.4,40,14,79,41,7.1,No,13,38498,64,251.3
7.6,40,13,85,51,7.8,No,15,47232,80,259.4
7.6,40,13,85,40,7.9,No,16,47599,74,258
7.7,40,13,84,48,6.9,No,15,47353,75,255.5
6.9,40,24,85,57,9.6,Yes,16,53634,69,222.8
7.3,40,26,80,57,6.9,No,17,49838,70,231
9.3,40,10,88,56,7.8,No,7,67663,80,150.9
9.3,40,9,92,67,7.3,No,7,79598,82,128.3
6.8,40,9,92,54,11.2,Yes,14,50958,79,139.1
7.7,40,9,90,55,7.7,No,12,56025,76,150.9
8.6,40,9,92,59,6.7,No,9,58088,78,159.5
7.1,41,13,82,50,9,No,18,50134,77,283.5
5.8,41,13,83,35,9,No,20,38812,68,204.9
5.7,41,14,80,40,9.2,No,19,39439,72,230.2
5.4,41,9,78,37,8.9,Yes,18,32502,58,242.7
5,41,12,83,48,8.9,Yes,21,40437,79,236.8
8.3,41,20,73,30,7.5,No,11,41635,78,195.4
6.9,41,18,83,37,7.7,Yes,17,36527,71,162.5
6.5,41,14,92,60,7.8,No,13,67525,62,192.7
6.1,41,17,79,40,8.5,Yes,17,36243,59,275.4
8.1,41,12,92,70,8.6,No,11,74640,77,225
7.9,41,18,72,35,8.8,Yes,15,35997,61,224.7
6.8,41,16,86,63,8.8,Yes,15,57969,62,200.2
7.7,41,11,92,71,5,No,12,52081,79,175.4
7.6,41,21,78,44,6.3,No,11,57342,68,167
8.5,41,7,93,55,9.1,Yes,12,51242,78,201.3
7.4,41,9,90,54,7.9,No,14,54002,74,185.2
9,41,10,82,58,8.2,No,8,57225,85,191
8.6,41,5,93,70,8.2,Yes,9,63118,74,159
5.2,41,11,94,76,6.8,Yes,12,58365,77,191.2
5.3,41,16,94,61,6.2,No,12,57676,73,151.4
7.3,41,12,91,58,7.9,Yes,16,55006,79,186
7.5,41,12,90,62,7.8,Yes,13,57611,70,159.8
6.7,41,11,83,43,10.1,Yes,17,43733,72,197.9
7.3,41,7,90,56,8.3,No,15,51940,84,211.6
6.3,41,19,82,52,9.2,No,20,38727,79,230.1
6.1,41,14,79,42,8.8,Yes,21,34498,53,354.5
6.3,41,15,88,49,8.3,No,15,45874,74,201.1
8.7,41,12,95,64,5.9,No,9,62465,74,138.3
8.2,41,8,91,76,8.1,Yes,13,55574,73,143.4
5.7,41,15,86,59,7.6,Yes,17,44261,71,134.8
8,41,6,92,65,6.5,No,14,53371,79,168
7.4,41,17,80,57,8.2,No,16,47114,73,160.1
9.2,41,6,92,64,5.7,No,5,66105,63,138
9.2,41,10,87,59,7.1,No,6,57557,77,158.5
6.5,41,20,87,53,9.8,Yes,17,45213,63,219
6.2,41,23,81,48,9.6,Yes,17,51072,77,209.6
7.4,41,13,92,62,6.4,Yes,10,54164,80,158.3
6.8,41,14,83,50,8.1,No,18,44759,76,248.1
6.8,41,12,80,56,8.7,No,18,43365,71,274.3
7.2,41,15,82,39,7.9,No,15,47031,73,214.7
7,41,20,83,53,7.6,No,16,41720,68,222.2
7.1,41,21,83,52,9.9,Yes,14,56954,79,209.7
5.5,41,21,82,41,9.8,Yes,21,45781,73,186.2
4.6,41,11,96,75,6.5,No,15,75531,73,137.4
8.2,41,12,81,53,7.4,No,13,48555,79,144.3
6.7,41,11,86,62,7.3,No,11,51035,76,141.5
7.4,41,10,81,59,7.4,No,17,43206,75,211
6.9,42,12,86,37,8.8,No,17,42268,73,221.8
6.1,42,11,85,51,9.2,No,17,43198,70,284.4
6.8,42,11,82,54,9.7,No,17,44802,71,273
7.1,42,15,80,34,9.2,No,15,52720,71,193.2
8.5,42,7,92,66,9.7,No,10,54022,81,179.8
8,42,9,87,57,9.5,No,13,46486,79,190.2
8.3,42,10,88,54,9.6,No,13,58220,84,187.2
8.6,42,13,89,60,9,No,11,57787,79,181.6
6.7,42,11,91,56,8.3,No,16,49821,73,200.6
6.3,42,11,92,65,8.4,Yes,14,50399,77,183.5
8.3,42,12,89,71,6.5,Yes,11,51376,73,146.3
7.4,42,9,79,52,8.7,No,17,44459,84,191.2
7.2,42,9,89,57,9.3,No,15,44475,74,190.1
6.4,42,9,83,44,8.9,No,18,42297,74,192.7
7.4,42,8,84,56,8.9,No,14,50980,76,177.4
7.4,42,8,83,50,9.2,Yes,15,45599,81,250.7
6,42,11,85,64,8.6,No,15,55861,73,176.3
6.4,42,11,78,42,9.1,Yes,19,43794,66,299.8
7.4,42,9,87,61,7.2,No,17,46144,82,221.6
6.3,42,10,86,56,6.5,No,15,48951,69,156.8
8.5,42,7,92,75,7,Yes,9,67329,80,164.6
8.1,42,8,92,66,6.9,No,8,61316,78,135.2
8.4,42,12,93,55,8,No,11,66492,78,186.6
8.4,42,9,95,73,6.1,Yes,7,80071,84,185.6
8.7,42,7,94,64,6.8,No,11,62260,73,150.9
8.8,42,11,90,66,7.3,No,10,59159,83,149.1
7.3,42,6,89,57,7.7,No,14,51526,72,178.8
8.3,42,6,87,56,7.2,Yes,12,63915,69,168.6
9.9,42,8,93,77,6.6,No,3,60682,75,150.1
6.3,42,9,85,49,8.5,No,17,45808,71,217.1
8.6,42,7,93,58,9.1,No,11,63516,71,201.8
7,42,17,84,42,8.2,Yes,16,46266,74,206
6.6,42,22,85,43,9.8,No,17,43147,76,242.3
8.8,42,9,88,49,9,Yes,10,68991,81,168.9
8.3,42,13,81,39,8.1,No,10,43614,76,187.1
8.1,42,12,92,73,6.3,Yes,9,58488,78,146.9
8.2,42,11,88,59,8.8,No,11,73132,78,204.1
7.1,42,13,85,51,7.4,No,16,50297,74,244.1
6.8,42,13,81,45,7.7,Yes,16,42754,79,195
7,42,18,89,57,7.7,Yes,15,54862,83,228.8
7.7,42,22,87,56,9.6,No,15,66323,70,162.7
8.6,42,6,93,62,6.3,No,10,60624,81,156.3
7.3,42,10,82,56,7.8,No,15,44937,79,201.9
6.7,43,11,86,56,7.5,No,17,54185,72,258.2
6.5,43,10,87,58,9.9,Yes,18,44925,69,227.9
6.9,43,10,86,61,9.1,Yes,17,50834,73,273.3
5.9,43,13,79,49,8.7,No,20,36148,74,174.5
7.8,43,10,91,69,14.8,No,14,56887,70,161.8
7.8,43,15,83,43,8.2,No,13,54354,75,158.6
8.3,43,13,89,61,8.4,No,10,77690,77,188.2
7.1,43,13,87,50,9.1,No,14,55024,72,212
6.6,43,15,86,53,8.7,No,17,46690,63,234.6
7.6,43,7,88,59,9.4,No,14,59602,74,220.6
6.5,43,9,86,55,9.5,No,13,49030,81,166
7.3,43,7,89,60,9.4,No,13,58114,72,202.4
6.9,43,9,81,48,9.1,No,15,59286,67,203.8
8,43,9,91,58,8.9,No,11,76368,82,177.8
8.3,43,5,94,65,8,Yes,9,62000,79,175.2
9,43,6,94,71,7.8,No,8,65344,81,141
8.9,43,7,93,65,7.7,No,9,53466,75,203.4
6.6,43,9,80,48,6.3,Yes,20,44720,79,229.6
8.4,43,14,94,58,6.1,No,12,64825,79,144.5
7.6,43,9,89,55,7.4,Yes,17,50286,85,232.7
9.5,43,5,94,73,8.4,No,6,77340,85,147.6
6.6,43,16,87,61,9.2,No,18,44695,76,244
7.6,43,15,87,52,8.7,No,14,47750,76,206.8
7.3,43,15,86,42,7.9,No,13,43387,74,193.9
7.7,43,14,91,52,14.6,Yes,15,42501,80,145.9
6.9,43,11,95,64,6.3,Yes,13,57873,70,149.7
8.9,43,8,86,51,6,No,10,57057,76,144.6
9.1,43,8,91,80,6.4,No,6,53751,80,145.2
7.3,43,14,89,69,6.6,No,16,45178,72,263.7
7.1,43,19,87,55,8.6,Yes,15,46781,67,245
6.4,43,19,87,51,9.4,Yes,19,40831,71,235.4
6.7,43,15,90,60,6.6,No,12,50445,74,162.9
8.5,43,12,87,55,8.3,No,11,78330,77,213.9
6.8,43,12,87,54,8.5,No,17,52898,76,247.6
6.9,43,12,84,44,8.1,No,15,43742,59,235.4
8.3,43,10,88,60,8.8,No,12,61432,74,212.4
8.1,43,27,81,63,5.7,Yes,10,55718,84,134.6
7.5,43,15,92,59,5.8,No,13,55033,77,152.4
8.6,43,10,89,60,7.8,Yes,10,59223,73,160
6.7,44,9,92,66,10.1,Yes,15,57367,62,198
6.4,44,10,87,52,9.4,Yes,19,43577,75,233.6
7.6,44,8,90,57,9.8,Yes,14,59623,71,165.9
6.7,44,10,89,60,9.5,No,18,46317,80,199.6
7.5,44,5,81,38,9.4,No,12,63803,69,184.2
7.8,44,17,85,47,8.4,No,15,47907,70,173.7
8.5,44,9,89,55,9.4,No,11,71828,81,164.5
7.7,44,11,88,49,9.2,No,14,67318,69,190.5
9.3,44,9,84,57,9.1,No,8,72404,76,155.6
8.8,44,6,92,70,7.9,No,8,54234,75,172.6
7.8,44,15,93,73,7.2,No,12,55004,79,166.4
7.4,44,8,90,60,8,No,14,53616,81,221.2
7.8,44,8,93,71,5.6,No,9,60159,79,129.9
9,44,6,94,73,6.8,No,8,64306,80,113.3
9.4,44,8,92,64,7.4,No,7,61225,79,109.4
6.9,44,18,79,46,9.7,Yes,17,48968,85,195.5
7.2,44,12,93,69,7.5,No,13,58373,62,193.1
8.3,44,11,87,60,8.9,No,11,55605,74,199.1
5.6,44,16,79,52,7.9,No,18,39089,82,226.8
8.1,44,9,96,71,6.8,No,12,54291,73,145.3
8.2,44,5,91,57,6,No,14,54269,75,161.2
8,44,5,91,63,4.8,Yes,12,54794,73,179.3
8.1,44,8,90,55,9.7,No,12,57932,71,218
6.7,44,10,86,59,8.5,No,18,50642,75,213
7.7,44,14,90,54,9.8,Yes,13,58621,77,212.1
7.1,44,17,86,57,7.8,Yes,14,56779,61,223.9
